confusion_category,position_relative_to_snv,mean_attention
FN,37,0.019098439598456026
FN,38,0.019261447051540016
FN,39,0.01920054213143885
FN,40,0.019152036970481276
FN,41,0.019047698844224213
FN,42,0.01917955138720572
FN,43,0.019136495310813188
FN,44,0.01914586629718542
FN,45,0.019106766618788244
FN,46,0.019241851810365914
FN,47,0.019431174155324697
FN,48,0.019669552240520714
FN,49,0.019745307452976705
FN,50,0.019656158378347756
FN,51,0.019546613274142147
FN,52,0.019598299590870737
FN,53,0.019573207246139646
FN,54,0.019553846614435315
FN,55,0.01975465301424265
FN,56,0.019543591449037195
FN,57,0.019402180127799512
FN,58,0.019306725738570094
FN,59,0.01953994049690664
FN,60,0.01955291572958231
FN,61,0.019623614698648453
FN,62,0.01946465704590082
FN,63,0.019355110852047802
FN,64,0.019445632165297867
FN,65,0.01933705319650471
FN,66,0.019155568815767764
FN,67,0.01902774319984019
FN,68,0.018805814599618317
FN,69,0.01897834228351712
FN,70,0.01915093475021422
FN,71,0.01915266294032335
FN,72,0.018984480667859314
FN,73,0.019213884957134723
FN,74,0.019344845321029425
FN,75,0.019529058281332255
FN,76,0.01961897047236562
FN,77,0.019449149314314126
FN,78,0.019403810184448957
FN,79,0.01939520416781306
FN,80,0.019220113418996335
FN,81,0.01922908131033182
FN,82,0.01928514995612204
FN,83,0.01902291240170598
FN,84,0.01904546798206866
FN,85,0.019007584303617476
FN,86,0.019036172498017548
FN,87,0.018891619984060526
FN,88,0.018941556727513673
FN,89,0.018909084498882293
FN,90,0.01905263195745647
FN,91,0.018954024370759725
FN,92,0.0190039059240371
FN,93,0.018901727171614768
FN,94,0.019147207979112863
FN,95,0.01925918709486723
FN,96,0.019279931727796792
FN,97,0.01912904323078692
FN,98,0.019158256342634558
FN,99,0.019176378985866903
FN,100,0.019073436837643384
FN,101,0.01893815219402313
FN,102,0.018961001224815845
FN,103,0.01890203470364213
FN,104,0.019016677122563122
FN,105,0.018897849256172775
FN,106,0.0186591125279665
FN,107,0.018566607451066374
FN,108,0.018384112631902098
FN,109,0.018236246360465884
FN,110,0.01846552800387144
FN,111,0.01832864628173411
FN,112,0.01811476613394916
FN,113,0.018022649493068456
FN,114,0.018122373251244425
FN,115,0.018131418712437154
FN,116,0.018028153590857982
FN,117,0.018138979207724334
FN,118,0.018029084084555506
FN,119,0.018333254372701047
FN,120,0.018177497200667858
FN,121,0.01838358847424388
FN,122,0.019003779739141465
FN,123,0.02062420079484582
FN,124,0.02117110274732113
FN,125,0.0220241916552186
FN,126,0.023137148190289735
FN,127,0.025260809510946274
FN,128,0.030685625933110715
FP,-128,0.015335085848346353
FP,-127,0.017048135777004064
FP,-126,0.01804844496771693
FP,-125,0.018045868715271352
FP,-124,0.01825872955843806
FP,-123,0.018062107507139446
FP,-122,0.017684972984716295
FP,-121,0.017318433923646806
FP,-120,0.017183265751227736
FP,-119,0.017189421420916916
FP,-118,0.017282653069123625
FP,-117,0.017326717916876077
FP,-116,0.017489767018705606
FP,-115,0.01758092824369669
FP,-114,0.0176220378652215
FP,-113,0.017681160103529693
FP,-112,0.017639053333550692
FP,-111,0.017593059930950405
FP,-110,0.017638504737988114
FP,-109,0.017707047313451768
FP,-108,0.017532046316191555
FP,-107,0.017615385577082632
FP,-106,0.01776858786121011
FP,-105,0.01782740472815931
FP,-104,0.01840798519551754
FP,-103,0.018334234850481152
FP,-102,0.018433571625500918
FP,-101,0.018268086342141034
FP,-100,0.018273123437538744
FP,-99,0.01812022292986512
FP,-98,0.018267578007653357
FP,-97,0.0183602037653327
FP,-96,0.01832176742143929
FP,-95,0.018467308906838297
FP,-94,0.018673327770084142
FP,-93,0.018832296766340732
FP,-92,0.01903452480211854
FP,-91,0.019019376197829844
FP,-90,0.01915371371433139
FP,-89,0.019055418334901333
FP,-88,0.01902454411610961
FP,-87,0.019134694980457424
FP,-86,0.019023281494155525
FP,-85,0.01898622336797416
FP,-84,0.018969959057867528
FP,-83,0.019245256623253226
FP,-82,0.019245657492429017
FP,-81,0.019414136428385975
FP,-80,0.01989522515796125
FP,-79,0.019597307881340384
FP,-78,0.019773970264941453
FP,-77,0.019628320252522827
FP,-76,0.019778171591460704
FP,-75,0.019904422247782348
FP,-74,0.02002989226952195
FP,-73,0.020022151693701744
FP,-72,0.020031137699261306
FP,-71,0.020016248673200607
FP,-70,0.0199949851911515
FP,-69,0.02043840827420354
FP,-68,0.020537709910422565
FP,-67,0.020518492395058274
FP,-66,0.020390464458614588
FP,-65,0.020190563946962357
FP,-64,0.020326827401295305
FP,-63,0.020349459415301682
FP,-62,0.020182413579896093
FP,-61,0.020307782497256996
FP,-60,0.020525274584069848
FP,-59,0.020665186131373046
FP,-58,0.020698719220235945
FP,-57,0.020651002945378423
FP,-56,0.020516661275178195
FP,-55,0.02045614307746291
FP,-54,0.020565410051494835
FP,-53,0.0207905818708241
FP,-52,0.020689931167289614
FP,-51,0.020836680885404347
FP,-50,0.020971528831869365
FP,-49,0.021052897134795787
FP,-48,0.020904620382934808
FP,-47,0.020869657723233105
FP,-46,0.020859065297991038
FP,-45,0.021014152215793728
FP,-44,0.020944661563262343
FP,-43,0.021007489506155254
FP,-42,0.020452214013785122
FP,-41,0.020453198831528425
FP,-40,0.020369674740359188
FP,-39,0.020364706180989744
FP,-38,0.02040770845487714
FP,-37,0.020616864077746867
FP,-36,0.020774035016074777
FP,-35,0.020979088190943004
FP,-34,0.02085174367763102
FP,-33,0.020788842616602778
FP,-32,0.02081426450051367
FP,-31,0.02077570429071784
FP,-30,0.02096052755601704
FP,-29,0.02066337508149445
FP,-28,0.020579479467123747
FP,-27,0.020926775597035884
FP,-26,0.020642500566318632
FP,-25,0.020933878403156997
FP,-24,0.02090522942133248
FP,-23,0.020720043713226916
FP,-22,0.020948511315509677
FP,-21,0.02083045776002109
FP,-20,0.02086538737639785
FP,-19,0.02097815115004778
FP,-18,0.021054015224799515
FP,-17,0.020997633365914224
FP,-16,0.02102798261679709
FP,-15,0.02108352219685912
FP,-14,0.021569113675504924
FP,-13,0.021551099484786392
FP,-12,0.02184585040435195
FP,-11,0.02162954051978886
FP,-10,0.021837043501436712
FP,-9,0.022428202219307424
FP,-8,0.02269404145888984
FP,-7,0.022738222228363157
FP,-6,0.02302375660277903
FP,-5,0.02308572182431817
FP,-4,0.023055784795433285
FP,-3,0.023455385714769364
FP,-2,0.023405073033645748
FP,-1,0.023204250168055295
FP,0,0.02333292754366994
FP,1,0.023046238254755734
FP,2,0.02403983561322093
FP,3,0.02399607707746327
FP,4,0.024040220780298115
FP,5,0.024015111783519387
FP,6,0.023981507485732436
FP,7,0.023814700078219175
FP,8,0.02375032321549952
FP,9,0.023764238804578782
FP,10,0.023900001253932716
FP,11,0.023725859867408872
FP,12,0.02379680453799665
FP,13,0.023625499121844768
FP,14,0.023690248737111688
FP,15,0.023797900676727296
FP,16,0.023684021551162004
FP,17,0.02374528154730797
FP,18,0.02356823457404971
FP,19,0.023587542045861484
FP,20,0.022899339152500035
FP,21,0.022647849870845674
FP,22,0.022658586455509066
FP,23,0.022741433493793012
FP,24,0.022665436090901495
FP,25,0.022663727132603527
FP,26,0.022337494324892758
FP,27,0.022305017989128827
FP,28,0.022516216970980166
FP,29,0.022587427496910097
FP,30,0.022677454808726908
FP,31,0.022504634456709027
FP,32,0.02232453988865018
FP,33,0.02243307340890169
FP,34,0.021981599470600487
FP,35,0.021944736847653985
FP,36,0.021874928642064334
FP,37,0.02198065409436822
FP,38,0.022043178603053094
FP,39,0.021786303976550698
FP,40,0.022047784058377148
FP,41,0.022125016218051314
FP,42,0.021677100621163844
FP,43,0.021531801242381333
FP,44,0.02149029739201069
