k,donor,assay,prefix,train_rows,train_unique,dev_rows,dev_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,dev_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
3,enc002,POLR2AphosphoS5,enc002_POLR2AphosphoS5,1132,1087,142,141,10,142.0,0.8218309859154929,0.08450704225352113,0.9295774647887324,0.09859154929577464,0.03975265017667844,0.6
3,enc003,POLR2AphosphoS5,enc003_POLR2AphosphoS5,5310,4435,664,635,10,664.0,0.8655120481927712,0.30120481927710846,0.947289156626506,0.2740963855421687,0.1647834274952919,36.5
3,enc004,POLR2AphosphoS5,enc004_POLR2AphosphoS5,4809,3862,601,578,10,602.0,0.8664451827242525,0.2973421926910299,0.946843853820598,0.30782029950083195,0.19692243709710958,37.2
4,enc001,ATACseq,enc001_ATACseq,3576,3039,447,431,10,447.0,0.865771812080537,0.2639821029082774,0.9530201342281879,0.31096196868008946,0.15016778523489932,12.0
4,enc002,ATACseq,enc002_ATACseq,8545,6845,1068,1023,10,1069.0,0.8730589335827876,0.3283442469597755,0.950420954162769,0.3080524344569288,0.1989467524868344,73.5
4,enc003,ATACseq,enc003_ATACseq,7262,5508,908,853,10,908.0,0.886123348017621,0.3964757709251101,0.9460352422907489,0.3777533039647577,0.2415312586064445,54.2
4,enc004,ATACseq,enc004_ATACseq,4307,3080,538,488,10,539.0,0.8816326530612244,0.38404452690166974,0.9499072356215214,0.35315985130111527,0.2848850708149524,20.2
4,enc001,CTCF,enc001_CTCF,11547,6568,1443,1198,10,1444.0,0.9241689750692519,0.5976454293628809,0.9702216066481995,0.5918225918225918,0.4311942495886377,170.2
4,enc002,CTCF,enc002_CTCF,12080,6878,1510,1273,10,1510.0,0.924635761589404,0.6026490066225165,0.9695364238410596,0.5576158940397351,0.43062913907284767,179.5
4,enc003,CTCF,enc003_CTCF,12624,6793,1578,1275,10,1578.0,0.9309885931558934,0.6330798479087453,0.9708491761723701,0.6070975918884665,0.4618979721166033,192.8
4,enc004,CTCF,enc004_CTCF,13731,7111,1716,1390,10,1717.0,0.9345369831100758,0.6569598136284217,0.9749563191613279,0.6258741258741258,0.48212074867089066,224.7
