k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,n_crossdonor_sets,test_rows_mean,val_leaked_frac,primary_test_leaked_frac,crossdonor_leaked_frac_mean,crossdonor_leaked_frac_std,crossdonor_leaked_frac_min,crossdonor_leaked_frac_max,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,train_within_dup_frac,label_conflict_seqs_in_test_mean,crossdonor_set_01,crossdonor_set_02,crossdonor_set_03,crossdonor_set_04,crossdonor_set_05,crossdonor_set_06,crossdonor_set_07,crossdonor_set_08,crossdonor_set_09,crossdonor_set_10
5,H3K27ac,1,33883,24666,4235,3846,11,10,4236.0,0.3695395513577332,0.3836166194523135,0.8853163361661945,0.17631243370045313,0.3836166194523135,0.9492445703493863,0.8397072710103871,0.3836166194523135,0.9492445703493863,0.2720243189800195,183.36363636363637,0.3836166194523135,0.9386213408876298,0.9402738432483475,0.9360245514636449,0.9393295561850803,0.9412181303116147,0.9492445703493863,0.9416902738432483,0.9426345609065155,0.9405099150141643
5,H3K27ac,2,24404,17806,3051,2756,11,10,3051.0,0.35496558505408066,0.3729924614880367,0.8804326450344149,0.17832353670357282,0.3729924614880367,0.9403474270730908,0.8343017192574714,0.3729924614880367,0.9403474270730908,0.2703655138501885,103.0909090909091,0.3729924614880367,0.9403474270730908,0.9377253359554244,0.9400196656833825,0.938380858734841,0.9396919042936742,0.9354310062274664,0.9360865290068829,0.9311701081612586,0.9324811537200918
5,H3K27ac,3,24411,16276,3051,2598,11,10,3052.0,0.4333005571943625,0.432175622542595,0.891251638269987,0.161356828928037,0.432175622542595,0.9475753604193972,0.8495174550220422,0.432175622542595,0.9475753604193972,0.3332514030559993,117.72727272727273,0.432175622542595,0.9423328964613368,0.9426605504587156,0.9429882044560943,0.9456094364351245,0.9475753604193972,0.9420052424639581,0.9357798165137615,0.9347968545216252,0.9465923984272608
5,H3K27ac,4,35835,23128,4479,3826,11,10,4480.0,0.45903103371288234,0.484375,0.9010267857142857,0.146440828041529,0.484375,0.9529017857142857,0.8631493506493506,0.484375,0.9529017857142857,0.35459746058322866,200.45454545454547,0.484375,0.9457589285714286,0.9515625,0.9473214285714285,0.94375,0.95,0.9410714285714286,0.9484375,0.9529017857142857,0.9450892857142857
5,H3K27me3,1,18217,13390,2277,2096,11,10,2278.0,0.35660957400087834,0.35908691834942935,0.8780070237050044,0.18235696037437876,0.35908691834942935,0.9398595258999122,0.8308324686726795,0.35908691834942935,0.9398595258999122,0.26497227864083,68.18181818181819,0.35908691834942935,0.935908691834943,0.9297629499561019,0.9345917471466199,0.9398595258999122,0.9315188762071993,0.9385425812115891,0.9354697102721685,0.9367866549604916,0.9385425812115891
5,H3K27me3,2,8827,7835,1103,1075,11,10,1104.0,0.15321849501359927,0.17753623188405798,0.8408514492753623,0.23314577310924,0.17753623188405798,0.9230072463768116,0.7805500658761528,0.17753623188405798,0.9230072463768116,0.11238246289792682,8.272727272727273,0.17753623188405798,0.9039855072463768,0.9211956521739131,0.9085144927536232,0.9112318840579711,0.9148550724637681,0.9230072463768116,0.9221014492753623,0.9139492753623188,0.9121376811594203
5,H3K27me3,3,5721,4296,715,655,11,10,716.0,0.365034965034965,0.36731843575418993,0.8824022346368714,0.18117324082255842,0.36731843575418993,0.9511173184357542,0.8355764347384459,0.36731843575418993,0.9511173184357542,0.24908232826428947,22.818181818181817,0.36731843575418993,0.9343575418994413,0.9217877094972067,0.9385474860335196,0.9511173184357542,0.9497206703910615,0.9371508379888268,0.9441340782122905,0.9427374301675978,0.9371508379888268
5,H3K27me3,4,8059,5710,1007,887,11,10,1008.0,0.3912611717974181,0.3888888888888889,0.8890873015873015,0.17582320866560075,0.3888888888888889,0.9543650793650794,0.8436147186147186,0.3888888888888889,0.9543650793650794,0.29147536915250033,32.81818181818182,0.3888888888888889,0.9464285714285714,0.9384920634920635,0.9454365079365079,0.9464285714285714,0.9543650793650794,0.9434523809523809,0.9424603174603174,0.9484126984126984,0.9365079365079365
5,H3K36me3,1,19302,13569,2413,2191,11,10,2413.0,0.4098632407791131,0.4065478657273104,0.886572731040199,0.16872994626506949,0.4065478657273104,0.9473684210526315,0.8429341069208455,0.4065478657273104,0.9473684210526315,0.2970158532794529,64.54545454545455,0.4065478657273104,0.9473684210526315,0.9399088271860754,0.9399088271860754,0.9399088271860754,0.9365934521342727,0.9291338582677166,0.9407376709490262,0.9419809365934522,0.9436386241193535
5,H3K36me3,2,9428,7544,1179,1113,11,10,1179.0,0.28498727735368956,0.27905004240882103,0.8650551314673451,0.206118485303555,0.27905004240882103,0.9414758269720102,0.8117819415529339,0.27905004240882103,0.9414758269720102,0.19983029274501485,23.545454545454547,0.27905004240882103,0.9372349448685326,0.9287531806615776,0.9236641221374046,0.9168787107718406,0.914334181509754,0.9380831212892281,0.9414758269720102,0.9397794741306191,0.9312977099236641
