k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,val_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
3,POLR2AphosphoS5,4,4809,3862,601,578,11,602.0,0.8147085472666867,0.2973421926910299,0.946843853820598,0.30782029950083195,0.19692243709710958,37.54545454545455
4,ATACseq,1,3576,3039,447,431,11,447.0,0.8110636567012406,0.2639821029082774,0.9530201342281879,0.31096196868008946,0.15016778523489932,11.818181818181818
4,ATACseq,2,8545,6845,1068,1023,11,1069.0,0.8235394166170593,0.3283442469597755,0.950420954162769,0.3080524344569288,0.1989467524868344,72.81818181818181
4,ATACseq,3,7262,5508,908,853,11,908.0,0.8416099319183019,0.3964757709251101,0.9460352422907489,0.3777533039647577,0.2415312586064445,55.18181818181818
4,ATACseq,4,4307,3080,538,488,11,539.0,0.8363973688649012,0.38404452690166974,0.9499072356215214,0.35315985130111527,0.2848850708149524,20.272727272727273
4,CTCF,1,11547,6568,1443,1198,11,1444.0,0.894485016368673,0.5976454293628809,0.9702216066481995,0.5918225918225918,0.4311942495886377,170.0
4,CTCF,2,12080,6878,1510,1273,11,1510.0,0.8953642384105959,0.6026490066225165,0.9695364238410596,0.5576158940397351,0.43062913907284767,181.27272727272728
4,CTCF,3,12624,6793,1578,1275,11,1578.0,0.9039059799516074,0.6330798479087453,0.9708491761723701,0.6070975918884665,0.4618979721166033,192.1818181818182
4,CTCF,4,13731,7111,1716,1390,11,1717.0,0.9093026949753799,0.6569598136284217,0.9749563191613279,0.6258741258741258,0.48212074867089066,225.63636363636363
4,EP300,1,1537,1423,192,191,11,193.0,0.7833254828073479,0.15544041450777202,0.9430051813471503,0.11979166666666667,0.0741704619388419,4.818181818181818
4,EP300,2,124,115,16,16,11,16.0,0.7670454545454546,0.0625,1.0,0.0,0.07258064516129033,0.0
4,EP300,3,68,67,9,9,11,9.0,0.7272727272727273,0.0,1.0,0.1111111111111111,0.014705882352941176,0.0
4,EP300,4,564,528,71,70,11,71.0,0.765685019206146,0.16901408450704225,0.9436619718309859,0.14084507042253522,0.06382978723404255,0.9090909090909091
4,H3K27ac,1,8822,6019,1103,977,11,1103.0,0.8507376576279568,0.4369900271985494,0.9519492293744334,0.40797824116047143,0.31772840625708454,49.72727272727273
4,H3K27ac,2,6315,4421,789,698,11,790.0,0.8417721518987342,0.4,0.9455696202531646,0.3612167300380228,0.29992082343626286,28.727272727272727
4,H3K27ac,3,8312,5285,1039,879,11,1039.0,0.8579928252690524,0.47256977863330124,0.9557266602502407,0.4542829643888354,0.36417228103946103,50.09090909090909
4,H3K27ac,4,8876,5394,1110,910,11,1110.0,0.8650286650286649,0.4864864864864865,0.9612612612612612,0.4918918918918919,0.39229382604776925,54.18181818181818
4,H3K27me3,1,1670,1170,209,190,11,209.0,0.8360156589821662,0.3827751196172249,0.9665071770334929,0.40669856459330145,0.2994011976047904,5.818181818181818
4,H3K27me3,2,478,455,60,57,11,60.0,0.7712121212121213,0.1,0.9833333333333333,0.15,0.04811715481171548,0.09090909090909091
4,H3K27me3,3,502,388,63,60,11,63.0,0.8239538239538239,0.36507936507936506,0.9841269841269841,0.31746031746031744,0.22709163346613545,1.8181818181818181
4,H3K27me3,4,468,368,59,57,11,59.0,0.822804314329738,0.3728813559322034,0.9830508474576272,0.3389830508474576,0.21367521367521367,0.45454545454545453
4,H3K36me3,1,212,182,27,27,11,27.0,0.7946127946127945,0.2962962962962963,0.9629629629629629,0.3333333333333333,0.14150943396226415,0.0
